date,stock_symbol,symbol,closing_price
11/8/2016,AAAA,AAAA,105.250153
12/8/2016,AAAA,AAAA,105.493942
15/8/2016,AAAA,AAAA,106.761665
16/8/2016,AAAA,AAAA,106.664139
17/8/2016,AAAA,AAAA,106.508125
18/8/2016,AAAA,AAAA,106.371605
19/8/2016,AAAA,AAAA,106.644638
22/8/2016,AAAA,AAAA,105.81575
23/8/2016,AAAA,AAAA,106.147301
24/8/2016,AAAA,AAAA,105.347672
25/8/2016,AAAA,AAAA,104.899086
26/8/2016,AAAA,AAAA,104.284737
29/8/2016,AAAA,AAAA,104.167717
30/8/2016,AAAA,AAAA,103.368065
31/8/2016,AAAA,AAAA,103.465576
1/9/2016,AAAA,AAAA,104.079948
2/9/2016,AAAA,AAAA,105.055122
6/9/2016,AAAA,AAAA,105.025856
7/9/2016,AAAA,AAAA,105.669479
8/9/2016,AAAA,AAAA,102.900002
9/9/2016,AAAA,AAAA,100.569328
12/9/2016,AAAA,AAAA,102.821976
13/9/2016,AAAA,AAAA,105.269653
14/9/2016,AAAA,AAAA,108.994804
15/9/2016,AAAA,AAAA,112.700455
16/9/2016,AAAA,AAAA,112.066589
19/9/2016,AAAA,AAAA,110.759865
20/9/2016,AAAA,AAAA,110.750114
21/9/2016,AAAA,AAAA,110.730614
22/9/2016,AAAA,AAAA,111.77404
23/9/2016,AAAA,AAAA,109.911469
26/9/2016,AAAA,AAAA,110.077232
27/9/2016,AAAA,AAAA,110.282028
28/9/2016,AAAA,AAAA,111.120674
29/9/2016,AAAA,AAAA,109.394623
30/9/2016,AAAA,AAAA,110.243034
3/10/2016,AAAA,AAAA,109.726181
4/10/2016,AAAA,AAAA,110.194267
5/10/2016,AAAA,AAAA,110.243034
6/10/2016,AAAA,AAAA,111.062164
7/10/2016,AAAA,AAAA,111.227943
10/10/2016,AAAA,AAAA,113.168541
11/10/2016,AAAA,AAAA,113.412331
12/10/2016,AAAA,AAAA,114.426506
13/10/2016,AAAA,AAAA,114.075439
14/10/2016,AAAA,AAAA,114.709312
17/10/2016,AAAA,AAAA,114.631294
18/10/2016,AAAA,AAAA,114.553284
19/10/2016,AAAA,AAAA,114.211975
20/10/2016,AAAA,AAAA,114.153458
21/10/2016,AAAA,AAAA,113.70488
24/10/2016,AAAA,AAAA,114.728798
25/10/2016,AAAA,AAAA,115.313919
26/10/2016,AAAA,AAAA,112.719963
27/10/2016,AAAA,AAAA,111.63752
28/10/2016,AAAA,AAAA,110.896393
31/10/2016,AAAA,AAAA,110.720856
1/11/2016,AAAA,AAAA,108.721756
2/11/2016,AAAA,AAAA,108.819275
3/11/2016,AAAA,AAAA,107.652863
4/11/2016,AAAA,AAAA,106.68248
7/11/2016,AAAA,AAAA,108.221375
8/11/2016,AAAA,AAAA,108.858475
9/11/2016,AAAA,AAAA,108.682053
10/11/2016,AAAA,AAAA,105.653305
11/11/2016,AAAA,AAAA,106.280617
14/11/2016,AAAA,AAAA,103.614532
15/11/2016,AAAA,AAAA,104.986778
16/11/2016,AAAA,AAAA,107.809685
17/11/2016,AAAA,AAAA,107.770493
18/11/2016,AAAA,AAAA,107.878304
21/11/2016,AAAA,AAAA,109.515205
22/11/2016,AAAA,AAAA,109.583809
23/11/2016,AAAA,AAAA,109.025116
25/11/2016,AAAA,AAAA,109.574013
28/11/2016,AAAA,AAAA,109.358368
29/11/2016,AAAA,AAAA,109.250565
30/11/2016,AAAA,AAAA,108.329185
1/12/2016,AAAA,AAAA,107.319611
2/12/2016,AAAA,AAAA,107.721481
5/12/2016,AAAA,AAAA,106.947144
6/12/2016,AAAA,AAAA,107.770493
7/12/2016,AAAA,AAAA,108.829071
8/12/2016,AAAA,AAAA,109.897469
9/12/2016,AAAA,AAAA,111.691193
12/12/2016,AAAA,AAAA,111.054092
13/12/2016,AAAA,AAAA,112.906616
14/12/2016,AAAA,AAAA,112.906616
15/12/2016,AAAA,AAAA,113.524132
16/12/2016,AAAA,AAAA,113.671158
19/12/2016,AAAA,AAAA,114.327881
20/12/2016,AAAA,AAAA,114.631729
21/12/2016,AAAA,AAAA,114.739555
22/12/2016,AAAA,AAAA,113.984818
23/12/2016,AAAA,AAAA,114.210243
27/12/2016,AAAA,AAAA,114.935585
28/12/2016,AAAA,AAAA,114.445503
29/12/2016,AAAA,AAAA,114.416092
30/12/2016,AAAA,AAAA,113.524132
3/1/2017,AAAA,AAAA,113.847588
4/1/2017,AAAA,AAAA,113.720169
5/1/2017,AAAA,AAAA,114.29847
6/1/2017,AAAA,AAAA,115.572701
9/1/2017,AAAA,AAAA,116.631287
10/1/2017,AAAA,AAAA,116.748909
11/1/2017,AAAA,AAAA,117.376228
12/1/2017,AAAA,AAAA,116.886131
13/1/2017,AAAA,AAAA,116.680298
17/1/2017,AAAA,AAAA,117.621277
18/1/2017,AAAA,AAAA,117.611465
19/1/2017,AAAA,AAAA,117.405624
20/1/2017,AAAA,AAAA,117.621277
23/1/2017,AAAA,AAAA,117.699692
24/1/2017,AAAA,AAAA,117.591873
25/1/2017,AAAA,AAAA,119.464005
26/1/2017,AAAA,AAAA,119.52282
27/1/2017,AAAA,AAAA,119.532608
30/1/2017,AAAA,AAAA,119.218956
31/1/2017,AAAA,AAAA,118.944504
1/2/2017,AAAA,AAAA,126.197807
2/2/2017,AAAA,AAAA,125.982185
3/2/2017,AAAA,AAAA,126.521278
6/2/2017,AAAA,AAAA,127.707291
7/2/2017,AAAA,AAAA,128.922699
8/2/2017,AAAA,AAAA,129.422607
9/2/2017,AAAA,AAAA,130.357819
10/2/2017,AAAA,AAAA,130.062485
13/2/2017,AAAA,AAAA,131.214249
14/2/2017,AAAA,AAAA,132.917313
15/2/2017,AAAA,AAAA,133.399689
16/2/2017,AAAA,AAAA,133.242172
17/2/2017,AAAA,AAAA,133.60643
21/2/2017,AAAA,AAAA,134.571167
22/2/2017,AAAA,AAAA,134.974777
23/2/2017,AAAA,AAAA,134.403809
24/2/2017,AAAA,AAAA,134.531784
27/2/2017,AAAA,AAAA,134.797562
28/2/2017,AAAA,AAAA,134.856659
1/3/2017,AAAA,AAAA,137.613022
2/3/2017,AAAA,AAAA,136.795959
3/3/2017,AAAA,AAAA,137.603195
6/3/2017,AAAA,AAAA,137.170029
7/3/2017,AAAA,AAAA,137.347229
8/3/2017,AAAA,AAAA,136.835342
9/3/2017,AAAA,AAAA,136.520309
10/3/2017,AAAA,AAAA,136.973145
13/3/2017,AAAA,AAAA,137.032211
14/3/2017,AAAA,AAAA,136.825485
15/3/2017,AAAA,AAAA,138.272614
16/3/2017,AAAA,AAAA,138.499023
17/3/2017,AAAA,AAAA,137.809906
20/3/2017,AAAA,AAAA,139.257034
21/3/2017,AAAA,AAAA,137.662262
22/3/2017,AAAA,AAAA,139.217636
23/3/2017,AAAA,AAAA,138.725433
24/3/2017,AAAA,AAAA,138.449783
